,x1,Product List,Random Picker,x2,Sex List,Random Picker,x3,Random Age Generator,x4,Nationality List,Random Picker,x5,Region List,Random Picker,x6,Branches List,Random Picker,x7,Product List,Cost,Mapping to the product from D,x8,Month,Random Picker,x9,Level of Satisfaction,x10,Review Length (Word Count),x11,Number of Workers to Hire List,Mapping to Branch,x12
1,0361787A,Maong Pants,Brown Belt,0 0 0 0 0 0 1 0,Male,Female,0 1,25,0 0 1 0 0,Filipino,Filipino,1 0 0 0 0 0,NCR,Visayas,0 0 1 0,Branch 1,Branch 1,1 0 0 0,Maong Pants,600,220,1 0 0 0,January,July,0 0 0 0 0 0 1 0 0 0 0 0,4,0 0 0 1 0,89,0 1,16,16,0 0 1
2,4D69F20F,Blue Necktie,Red Sweatshirt,0 0 0 1 0 0 0 0,Female,Female,0 1,30,0 0 1 0 0,American,American,0 1 0 0 0 0,Luzon,Visayas,0 0 1 0,Branch 2,Branch 3,0 0 1 0,Blue Necktie,154,900,0 0 1 0,February,November,0 0 0 0 0 0 0 0 0 0 1 0,1,1 0 0 0 0,38,1 0,10,12,0 0 1
3,BC6AD2E5,Black Sweater,BTS Cap,0 0 0 0 0 0 0 1,,Male,1 0,44,0 0 0 1 0,Japanese,Chinese,0 0 0 0 1 0,Visayas,Mindanao,0 0 0 1,Branch 3,Branch 2,0 1 0 0,Black Sweater,260,160,1 0 0 0,March,November,0 0 0 0 0 0 0 0 0 0 1 0,1,1 0 0 0 0,88,0 1,12,10,0 0 1
4,A2E1A65A,Red Sweatshirt,Red Blouse,0 0 0 0 0 1 0 0,,Male,1 0,49,0 0 0 1 0,Korean,Japanese,0 0 1 0 0 0,Mindanao,Luzon,0 1 0 0,Branch 4,Branch 3,0 0 1 0,Red Sweatshirt,900,180,1 0 0 0,April,October,0 0 0 0 0 0 0 0 0 1 0 0,4,0 0 0 1 0,82,0 1,12,12,0 0 1
5,DCBA4F62,Sundress,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,73,0 0 0 0 1,Chinese,Filipino,1 0 0 0 0 0,,Luzon,0 1 0 0,,Branch 2,0 1 0 0,Sundress,1500,600,0 1 0 0,May,February,0 1 0 0 0 0 0 0 0 0 0 0,5,0 0 0 0 1,58,0 1,,10,0 0 1
6,420A0EA2,Red Blouse,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,31,0 0 1 0 0,Other,Filipino,1 0 0 0 0 0,,NCR,1 0 0 0,,Branch 1,1 0 0 0,Red Blouse,180,1500,0 0 0 1,June,March,0 0 1 0 0 0 0 0 0 0 0 0,4,0 0 0 1 0,1,1 0,,16,0 0 1
7,F7A748E3,Brown Belt,Maong Pants,1 0 0 0 0 0 0 0,,Male,1 0,30,0 0 1 0 0,,Korean,0 0 0 1 0 0,,NCR,1 0 0 0,,Branch 4,0 0 0 1,Brown Belt,220,600,0 1 0 0,July,March,0 0 1 0 0 0 0 0 0 0 0 0,3,0 0 1 0 0,81,0 1,,12,0 0 1
8,6E249C99,BTS Cap,Brown Belt,0 0 0 0 0 0 1 0,,Male,1 0,82,0 0 0 0 1,,Other,0 0 0 0 0 1,,Luzon,0 1 0 0,,Branch 4,0 0 0 1,BTS Cap,160,220,1 0 0 0,August,September,0 0 0 0 0 0 0 0 1 0 0 0,3,0 0 1 0 0,86,0 1,,12,0 0 1
9,D6FCC23C,,Sundress,0 0 0 0 1 0 0 0,,Female,0 1,41,0 0 0 1 0,,Chinese,0 0 0 0 1 0,,Visayas,0 0 1 0,,Branch 4,0 0 0 1,,,1500,0 0 0 1,September,September,0 0 0 0 0 0 0 0 1 0 0 0,4,0 0 0 1 0,8,1 0,,12,0 0 1
10,A10E1827,,Black Sweater,0 0 1 0 0 0 0 0,,Female,0 1,58,0 0 0 1 0,,Japanese,0 0 1 0 0 0,,Mindanao,0 0 0 1,,Branch 3,0 0 1 0,,,260,1 0 0 0,October,September,0 0 0 0 0 0 0 0 1 0 0 0,1,1 0 0 0 0,38,1 0,,12,0 0 1
