Sport,Discipline,Event,Event_gender,Athlete_Name,Gender,Country_ID,Bronze,Silver,Gold
Weightlifting,Weightlifting,"67.5 - 75kg, total (middleweight)",M,"PERVI, Aleksandr",Men,URS,0,1,0
Football,Football,football,M,"GAVRILOV, Yuri",Men,URS,1,0,0
Rowing,Rowing,four without coxswain (4-),M,"BRIETZKE, Siegfried",Men,GDR,0,0,1
Modern Pentathlon,Modern Pentath.,Team competition,M,"PETTERSSON, Lennart",Men,SWE,1,0,0
Athletics,Athletics,4x100m relay,M,"LICZNERSKI, Zenon",Men,POL,0,1,0
Fencing,Fencing,foil team,W,"MAROS, Magda",Women,HUN,1,0,0
Weightlifting,Weightlifting,"60 - 67.5kg, total (lightweight)",M,"PASHEV, Mincho",Men,BUL,1,0,0
Volleyball,Volleyball,volleyball,W,"ANDREIUK, Elena",Women,URS,0,0,1
Wrestling,Wrestling Free.,90 - 100kg (heavyweight),M,"STRNISKO, Julius",Men,TCH,1,0,0
Athletics,Athletics,discus throw,M,"BUGAR, Imrich",Men,TCH,0,1,0
Gymnastics,Artistic G.,team competition,W,"RÜHN, Melita",Women,ROU,0,1,0
Athletics,Athletics,4x100m relay,W,"KOMISOVA, Vera",Women,URS,0,1,0
Athletics,Athletics,pole vault,M,"KOZAKIEWICZ, Wladyslaw",Men,POL,0,0,1
Athletics,Athletics,50km walk,M,"LLOPART RIBAS, Jorge",Men,ESP,0,1,0
Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),M,"LIPIEN, Josef",Men,POL,0,1,0
Wrestling,Wrestling Free.,82 - 90kg (light-heavyweight),M,"NEUPERT, Uwe",Men,GDR,0,1,0
Fencing,Fencing,épée team,M,"RIBOUD, Philippe",Men,FRA,0,0,1
Football,Football,football,M,"STAMBACHR, Frantisek",Men,TCH,0,0,1
Football,Football,football,M,"ULLRICH, Artur",Men,GDR,0,1,0
Shooting,Shooting,50m pistol (60 shots),X,"MELENTIEV, Aleksandr",Men,URS,0,0,1
Athletics,Athletics,4x400m relay,W,"LÖWE, Gabriele",Women,GDR,0,1,0
Handball,Handball,handball,M,"WAHL, Frank-Michael",Men,GDR,0,0,1
Hockey,Hockey,hockey,W,"BOXHALL, Arlene Nadine",Women,ZIM,0,0,1
Weightlifting,Weightlifting,"+ 110kg, total (super heavyweight)",M,"RAKHMANOV, Sultan",Men,URS,0,0,1
Wrestling,Wrestling Free.,+ 100kg (super heavyweight),M,"BALLA, Jozsef",Men,HUN,0,1,0
Football,Football,football,M,"NEMEC, Petr",Men,TCH,0,0,1
Hockey,Hockey,hockey,M,"GONCHAROV, Aleksandr",Men,URS,1,0,0
Aquatics,Swimming,4x200m freestyle relay,M,"WOITHE, Jörg",Men,GDR,0,1,0
Fencing,Fencing,sabre team,M,"NAZLYMOV, Vladimir",Men,URS,0,0,1
Judo,Judo,60 - 65kg (half-lightweight),M,"NEDKOV, Ilian",Men,BUL,1,0,0
Aquatics,Swimming,100m butterfly,W,"POLLACK, Andrea",Women,GDR,0,1,0
Aquatics,Water polo,water polo,M,"GERENDAS, Gyorgy",Men,HUN,1,0,0
Hockey,Hockey,hockey,W,"GURYEVA, Elena",Women,URS,1,0,0
Rowing,Rowing,four-oared shell with coxswain (4-),W,"SAALFELD, Romy",Women,GDR,0,0,1
Gymnastics,Artistic G.,team competition,W,"GNAUCK, Maxi",Women,GDR,1,0,0
Hockey,Hockey,hockey,W,"BUZUNOVA, Natalia",Women,URS,1,0,0
Shooting,Shooting,50m running target (30+30 shots),X,"GAZOV, Aleksandr",Men,URS,1,0,0
Rowing,Rowing,eight with coxswain (8+),W,"PUSCATU-ARBA, Rodica",Women,ROU,1,0,0
Boxing,Boxing,- 48kg (light-flyweight),M,"MUSTAFOV, Ismail",Men,BUL,1,0,0
Rowing,Rowing,single sculls (1x),W,"TOMA, Sanda",Women,ROU,0,0,1
Athletics,Athletics,100m hurdles,W,"LANGER, Lucyna",Women,POL,1,0,0
Sailing,Sailing,two-person keelboat open (Star),X,"MUZYCHENKO, Aleksandr",Men,URS,0,0,1
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"MENENDEZ RODRIGUEZ, Herminio",Men,ESP,0,1,0
Hockey,Hockey,hockey,M,"KUMAR, Charanjit",Men,IND,0,0,1
Hockey,Hockey,hockey,M,"AIRAPETYAN, Sos",Men,URS,1,0,0
Fencing,Fencing,sabre team,M,"ALEKHIN, Nikolai",Men,URS,0,0,1
Wrestling,Wrestling Gre-R,62 - 68kg (lightweight),M,"SUPRON, Andrzej",Men,POL,0,1,0
Aquatics,Swimming,400m individual medley,W,"CZOPEK, Agnieszka",Women,POL,1,0,0
Athletics,Athletics,110m hurdles,M,"CASANAS RAMIREZ, Alejandro",Men,CUB,0,1,0
Athletics,Athletics,4x100m relay,W,"ECKERT-WÖCKEL, Bärbel",Women,GDR,0,0,1
Shooting,Shooting,trap (125 targets),X,"YAMBULATOV, Rustam",Men,URS,0,1,0
Cycling,Cycling Road,team time trial,M,"LOGVIN, Oleg",Men,URS,0,0,1
Volleyball,Volleyball,volleyball,W,"PAVLOVA, Larisa",Women,URS,0,0,1
Equestrian,Jumping,individual,X,"PEREZ DE LA HERAS, Joaquin",Men,MEX,1,0,0
Volleyball,Volleyball,volleyball,M,"TSANOV, Tsano",Men,BUL,0,1,0
Equestrian,Eventing,team,X,"ROMAN, Federico Euro",Men,ITA,0,1,0
Fencing,Fencing,épée team,M,"ABUSHAKHMETOV, Aleksandr",Men,URS,1,0,0
Hockey,Hockey,hockey,W,"ZAZDRAVNYKH, Valentina",Women,URS,1,0,0
Handball,Handball,handball,M,"REPIEV, Vladimir",Men,URS,0,1,0
Rowing,Rowing,eight with coxswain (8+),M,"FRIEDRICH, Jörg",Men,GDR,0,0,1
Boxing,Boxing,57 - 60kg (lightweight),M,"DEMIANENKO, Viktor",Men,URS,0,1,0
Aquatics,Swimming,4x100m medley relay,M,"LOWE, David",Men,GBR,1,0,0
Canoe / Kayak,Canoe / Kayak F,K-2 500m (kayak double),M,"DEL RIEGO GORDON, Guillermo",Men,ESP,0,1,0
Football,Football,football,M,"MAZURA, Josef",Men,TCH,0,0,1
