Name - Poverty Incidence among Population by Region and Province: 1991, 2006, 2009, 2012 and 2015
Source - National Statistics Coordination Board
Units - Percent
Description - 
Footnote - 
Date Created - 2019-04-29
Date Modified - 2019-04-29

 ,"1991","2006","2009","2012","2015",
"PHILIPPINES","34.4","26.6","26.3","25.2","21.6",
"NCR - National Capital Region
","7.1","4.7","3.6","3.9","3.9",
"    1st District","-","4.9","5.1","6.2","5.1",
"    2nd District","-","4.9","3.3","2.4","2.9",
"    3rd District","-","4.6","4.5","3.8","4.1",
"    4th District","-","4.4","2.4","4.8","4.5",
"CAR - Corillera Administrative Region
","42.7","26.0","25.1","22.8","19.7",
"    Abra","-","49.3","48.8","37.4","28.9",
"    Apayao","-","46.8","45.7","61.4","34.9",
"    Benguet","-","5.8","6.1","3.7","3.5",
"    Ifugao","-","28.0","32.1","42.4","32.5",
"    Kalinga","-","47.3","30.1","26.8","34.9",
"    Mt. Province","-","44.1","52.2","37.6","39.0",
"Region I - Ilocos","36.6","25.9","22.0","18.5","13.1",
"    Ilocos Norte","-","17.7","14.7","9.9","5.3",
"    Ilocos Sur","-","20.8","18.1","17.3","12.1",
"    La Union","-","26.0","29.3","18.5","12.2",
"    Pangasinan","-","28.7","22.3","20.4","15.3",
"Region II  - Cagayan Valley","42.8","26.8","25.5","22.1","15.8",
"    Batanes","-","16.6","14.4","33.3","0.0",
"    Cagayan","-","29.6","27.8","19.7","15.9",
"    Isabela","-","29.6","28.9","24.4","15.2",
"    Nueva Vizcaya","-","15.0","13.3","20.7","13.6",
"    Quirino","-","14.6","15.6","21.2","26.5",
"Region III - Central Luzon","21.1","13.1","13.7","12.9","11.2",
"    Aurora","-","30.5","18.2","30.8","26.3",
"    Bataan","-","9.7","7.7","7.1","2.0",
"    Bulacan","-","7.3","6.9","7.3","4.5",
"    Nueva Ecija","-","26.5","29.9","25.2","22.6",
"    Pampanga","-","2.7","6.9","7.6","4.9",
"    Tarlac","-","18.1","17.5","16.6","18.1",
"    Zambales","-","23.6","17.3","16.0","16.8",
"Region IVA - CALABARZON","22.7","10.3","11.9","10.9","9.1",
"    Batangas","-","14.4","17.1","19.0","9.3",
"    Cavite","-","1.8","3.2","3.4","6.8",
"    Laguna","-","5.5","8.4","6.4","5.4",
"    Quezon","-","33.5","29.8","27.5","22.7",
"    Rizal","-","3.3","8.6","6.1","5.4",
"Region IVB - MIMAROPA","44.4","40.6","34.5","31.0","24.4",
"    Marinduque","-","40.5","33.6","32.9","16.2",
"    Occidental Mindoro","-","43.2","35.9","38.1","41.2",
"    Oriental Mindoro","-","43.7","36.1","29.3","21.6",
