Year,Host_City,Sport,Discipline,Event,Event_gender,Surname,Given_Name,Gender,Country,Medal
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Lubiejewski,Zbigniew,Men,Poland,Gold
1/1/1976,Montreal,Athletics,Athletics,discus throw,M,Schmidt,Wolfgang,Men,East Germany,Silver
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Park,Mi-Kum,Women,"Korea, South",Bronze
1/1/1976,Montreal,Rowing,Rowing,coxless pair (2-),M,Staines,Michael Laurence,Men,United States,Silver
1/1/1976,Montreal,Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M,Ando,Kenkichi,Men,Japan,Bronze
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),W,Schwede,Bianka,Women,East Germany,Gold
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Duleev,Evgeni,Men,Soviet Union,Silver
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Chernyshova,Liudmila,Women,Soviet Union,Silver
1/1/1976,Montreal,Aquatics,Diving,3m springboard,M,Cagnotto,Giorgio Franco,Men,Italy,Silver
1/1/1976,Montreal,Athletics,Athletics,decathlon,M,Kratschmer,Guido,Men,West Germany,Silver
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,68 - 74kg (welterweight),M,Bykov,Anatoli,Men,Soviet Union,Gold
1/1/1976,Montreal,Rowing,Rowing,four without coxswain (4-),M,Mager,Wolfgang,Men,East Germany,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-2 1000m (kayak double),M,Nagornyi,Sergei,Men,Soviet Union,Gold
1/1/1976,Montreal,Aquatics,Swimming,4x100m medley relay,W,Corsiglia,Robin Marie,Women,Canada,Bronze
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,C-1 500m (canoe single),M,Ljubek,Matija,Men,Yugoslavia,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Chang,Hee-Sook,Women,"Korea, South",Bronze
1/1/1976,Montreal,Equestrian,Eventing,team,,Plumb,John Michael,Men,United States,Gold
1/1/1976,Montreal,Wrestling,Wrestling Free.,52 - 57kg (bantamweight),M,Brüchert,Hans-Dieter,Men,East Germany,Silver
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),M,Davidyan,Nelson,Men,Soviet Union,Silver
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,M,Kokot,Manfred,Men,East Germany,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,uneven bars,W,Ungureanu,Teodora,Women,Romania,Silver
1/1/1976,Montreal,Aquatics,Swimming,400m freestyle,W,Babashoff,Shirley Farber,Women,United States,Silver
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,M,Skorek,Edward,Men,Poland,Gold
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Yokoyama,Juri,Women,Japan,Gold
1/1/1976,Montreal,Athletics,Athletics,3000m steeplechase,M,Malinowski,Bronislaw,Men,Poland,Silver
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),M,Diessner,Walter,Men,East Germany,Silver
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Stroboer,Gijsbert (Gijs),Men,Netherlands,Bronze
1/1/1976,Montreal,Rowing,Rowing,four without coxswain (4-),M,Kuznetsov,Nikolai,Men,Soviet Union,Bronze
1/1/1976,Montreal,Cycling,Cycling Track,1km time trial,M,Fredborg,Niels Christian,Men,Denmark,Bronze
1/1/1976,Montreal,Aquatics,Swimming,200m breaststroke,M,Hencken,John Frederick,Men,United States,Silver
1/1/1976,Montreal,Handball,Handball,handball,M,Gmyrek,Jan,Men,Poland,Bronze
1/1/1976,Montreal,Rowing,Rowing,single sculls (1x),W,Antonova,Elena,Women,Soviet Union,Bronze
1/1/1976,Montreal,Handball,Handball,handball,M,Zielinski,Wlodzimierz,Men,Poland,Bronze
1/1/1976,Montreal,Volleyball,Volleyball,volleyball,W,Takayanagi,Shoko,Women,Japan,Gold
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls with coxswain (4x),W,Bryunina,Mira,Women,Soviet Union,Silver
1/1/1976,Montreal,Athletics,Athletics,1500m,M,Walker,John,Men,New Zealand,Gold
1/1/1976,Montreal,Weightlifting,Weightlifting,"- 52kg, total (flyweight)",M,Köszegi,György,Men,Hungary,Silver
1/1/1976,Montreal,Gymnastics,Artistic G.,balance beam,W,Korbut,Olga,Women,Soviet Union,Silver
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Parkin,Arthur,Men,New Zealand,Gold
1/1/1976,Montreal,Football,Football,football,M,Riedel,Dieter,Men,East Germany,Gold
1/1/1976,Montreal,Aquatics,Swimming,4x100m medley relay,M,Montgomery,James Paul,Men,United States,Gold
1/1/1976,Montreal,Rowing,Rowing,pair-oared shell with coxswain (2+),M,Spohr,Georg,Men,East Germany,Gold
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Maister,Selwyn Gerald,Men,New Zealand,Gold
1/1/1976,Montreal,Rowing,Rowing,eight with coxswain (8+),M,Prudöhl,Karl-Heinz,Men,East Germany,Gold
1/1/1976,Montreal,Equestrian,Jumping,team,,Parot,Hubert,Men,France,Gold
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,C-2 500m (canoe double),M,Vinogradov,Aleksandr,Men,Soviet Union,Gold
1/1/1976,Montreal,Football,Football,football,M,Tomaszewski,Jan,Men,Poland,Silver
1/1/1976,Montreal,Shooting,Shooting,trap (125 targets),,Haldeman,Donald Stanley,Men,United States,Gold
1/1/1976,Montreal,Cycling,Cycling Road,individual road race,M,Nowicki,Mieczyslaw,Men,Poland,Bronze
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls with coxswain (4x),W,Lazar,Elisabeta,Women,Romania,Bronze
1/1/1976,Montreal,Handball,Handball,handball,W,Turchina,Zinaida,Women,Soviet Union,Gold
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Pecka,Zdenek,Men,Czechoslovakia,Bronze
1/1/1976,Montreal,Athletics,Athletics,1500m,W,Hoffmeister,Gunhild,Women,East Germany,Silver
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-1 500m (kayak single),W,Zirzow,Carola,Women,East Germany,Gold
1/1/1976,Montreal,Gymnastics,Artistic G.,balance beam,W,Ungureanu,Teodora,Women,Romania,Bronze
1/1/1976,Montreal,Cycling,Cycling Road,team time trial,M,Szozda,Stanislaw,Men,Poland,Silver
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,M,Aksinin,Aleksandr,Men,Soviet Union,Bronze
1/1/1976,Montreal,Fencing,Fencing,foil team,M,Montano,Carlo,Men,Italy,Silver
1/1/1976,Montreal,Athletics,Athletics,20km walk,M,Frenkel,Peter,Men,East Germany,Bronze
1/1/1976,Montreal,Aquatics,Swimming,100m backstroke,W,Treiber,Birgit,Women,East Germany,Silver
1/1/1976,Montreal,Boxing,Boxing,57 - 60kg (lightweight),M,Davis,Howard Edward,Men,United States,Gold
1/1/1976,Montreal,Sailing,Sailing,fleet/match race keelboat open (Soling),,Jensen,Poul Richard Hoj,Men,Denmark,Gold
1/1/1976,Montreal,Aquatics,Swimming,100m freestyle,M,Nocke,Peter,Men,West Germany,Bronze
1/1/1976,Montreal,Fencing,Fencing,sabre team,M,Marin,Corneliu,Men,Romania,Bronze
1/1/1976,Montreal,Football,Football,football,M,Bransch,Bernd,Men,East Germany,Gold
1/1/1976,Montreal,Handball,Handball,handball,M,Kicsid,Gabriel,Men,Romania,Silver
1/1/1976,Montreal,Athletics,Athletics,4x100m relay,M,Riddick,Steven Earl,Men,United States,Gold
1/1/1976,Montreal,Aquatics,Water polo,water polo,M,Boegschoten,Alexander,Men,Netherlands,Bronze
1/1/1976,Montreal,Handball,Handball,handball,M,Melcer,Jerzy,Men,Poland,Bronze
1/1/1976,Montreal,Equestrian,Eventing,team,,Ammermann,Otto,Men,West Germany,Silver
1/1/1976,Montreal,Handball,Handball,handball,W,Paskuy,Eva,Women,East Germany,Silver
1/1/1976,Montreal,Weightlifting,Weightlifting,"67.5 - 75kg, total (middleweight)",M,Wenzel,Peter,Men,East Germany,Bronze
1/1/1976,Montreal,Athletics,Athletics,4x400m relay,M,Herrmann,Bernd,Men,West Germany,Bronze
1/1/1976,Montreal,Fencing,Fencing,épée team,M,Fischer,Volker,Men,West Germany,Silver
1/1/1976,Montreal,Rowing,Rowing,quadruple sculls without coxswain (4x),M,Lazdenieks,Aivar,Men,Soviet Union,Silver
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Dantley,Adrian Delano,Men,United States,Gold
1/1/1976,Montreal,Equestrian,Jumping,team,,Mathy,Francois,Men,Belgium,Bronze
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),M,Petkovic,Momir,Men,Yugoslavia,Gold
1/1/1976,Montreal,Football,Football,football,M,Deyna,Kazimierz,Men,Poland,Silver
1/1/1976,Montreal,Athletics,Athletics,4x400m relay,W,Greene-jiles,Pamela,Women,United States,Silver
1/1/1976,Montreal,Archery,Archery,individual FITA round,W,Ryon,Luann Marie,Women,United States,Gold
1/1/1976,Montreal,Aquatics,Swimming,4x100m medley relay,M,Steinbach,Klaus,Men,West Germany,Bronze
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Sherwani,Saleem,Men,Pakistan,Bronze
1/1/1976,Montreal,Boxing,Boxing,57 - 60kg (lightweight),M,Cutov,Simion,Men,Romania,Silver
1/1/1976,Montreal,Canoe / Kayak,Canoe / Kayak F,K-4 1000m (kayak four),M,Filatov,Yuri,Men,Soviet Union,Gold
1/1/1976,Montreal,Rowing,Rowing,coxless pair (2-),M,Landvoigt,Bernd,Men,East Germany,Gold
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight),M,Balboshin,Nikolai,Men,Soviet Union,Gold
1/1/1976,Montreal,Aquatics,Swimming,200m backstroke,W,Treiber,Birgit,Women,East Germany,Silver
1/1/1976,Montreal,Rowing,Rowing,four-oared shell with coxswain (4-),W,Kurth,Andrea,Women,East Germany,Gold
1/1/1976,Montreal,Weightlifting,Weightlifting,"- 56kg, total (bantamweight)",M,Nurikian,Norair,Men,Bulgaria,Gold
1/1/1976,Montreal,Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),M,Mustafin,Farkhad,Men,Soviet Union,Bronze
1/1/1976,Montreal,Basketball,Basketball,basketball,M,Lagarde,Thomas Joseph,Men,United States,Gold
1/1/1976,Montreal,Fencing,Fencing,foil team,M,Talvard,Bernard,Men,France,Bronze
1/1/1976,Montreal,Athletics,Athletics,100m,M,Quarrie,Donald,Men,Jamaica,Silver
1/1/1976,Montreal,Athletics,Athletics,pentathlon,W,Pollak,Burglinde,Women,East Germany,Bronze
1/1/1976,Montreal,Aquatics,Swimming,200m freestyle,W,Babashoff,Shirley Farber,Women,United States,Silver
1/1/1976,Montreal,Hockey,Hockey,hockey,M,Mcleod,Neil,Men,New Zealand,Gold
1/1/1976,Montreal,Sailing,Sailing,fleet/match race keelboat open (Soling),,Hoepfner,Richard H.,Men,United States,Silver
