Genre,Name
Sci-Fi,Iron Man
Action,Iron Man
Adventure,Iron Man
Sci-Fi,The incredible Hulk
Action,The incredible Hulk
Adventure,The incredible Hulk
Sci-Fi,Iron Man 2
Action,Iron Man 2
Adventure,Iron Man 2
Fantasy,Thor
Action,Thor
Adventure,Thor
Sci-Fi,Captain America: The First Avenger
Action,Captain America: The First Avenger
Adventure,Captain America: The First Avenger
Sci-Fi,Marvel's the Avengers
Action,Marvel's the Avengers
Adventure,Marvel's the Avengers
Sci-Fi,Iron Man 3
Action,Iron Man 3
Adventure,Iron Man 3
Fantasy,Thor: The dark world
Action,Thor: The dark world
Adventure,Thor: The dark world
Sci-Fi,Captain America: The Winter Soldier
Action,Captain America: The Winter Soldier
Adventure,Captain America: The Winter Soldier
Comedy,Guardians Of the Galaxy
Action,Guardians Of the Galaxy
Adventure,Guardians Of the Galaxy
Sci-Fi,Avengers: Age of Ultron
Action,Avengers: Age of Ultron
Adventure,Avengers: Age of Ultron
Comedy,Ant-Man
Action,Ant-Man
Adventure,Ant-Man
Sci-Fi,Captain America: Civil War
Action,Captain America: Civil War
Adventure,Captain America: Civil War
Fantasy,Doctor Strange
Action,Doctor Strange
Adventure,Doctor Strange
Comedy,Guardians of the Galaxy Vol. 2
Action,Guardians of the Galaxy Vol. 2
Adventure,Guardians of the Galaxy Vol. 2
Sci-Fi,Spider-Man: Homecoming
Action,Spider-Man: Homecoming
Adventure,Spider-Man: Homecoming
Comedy,Thor: Ragnarok
Action,Thor: Ragnarok
Adventure,Thor: Ragnarok
Sci-Fi,Black Panther
Action,Black Panther
Adventure,Black Panther
Sci-Fi,Avengers: Infinity War
Action,Avengers: Infinity War
Adventure,Avengers: Infinity War
Comedy,Ant-Man and the Wasp
Action,Ant-Man and the Wasp
Adventure,Ant-Man and the Wasp
Sci-Fi,Captain-Marvel
Action,Captain-Marvel
Adventure,Captain-Marvel
Drama,Avengers: Endgame
Action,Avengers: Endgame
Adventure,Avengers: Endgame
Sci-Fi,Spider-Man: Far From Home
Action,Spider-Man: Far From Home
Adventure,Spider-Man: Far From Home
