Name,Series,US release Date,Director,Duration (mins),IMDB rating,metascore,Budget,Domestic Gross (USD),Total Gross,Opening Gross,Oscar Nomination,Oscar won,Phase
Iron Man,Iron Man,5/2/08,Jon Favreau,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1
The incredible Hulk,Hulk,6/13/08,Louis Leterrier,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1
Iron Man 2,Iron Man,5/7/10,Jon Favreau,124,7,57,200000000,312433331,623933331,128122480,1,0,1
Thor,Thor,5/6/11,Kenneth Branagh,115,7,57,150000000,181030624,449326618,65723338,0,0,1
Captain America: The First Avenger,Captain America,7/22/11,Joe Jhonston,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1
Marvel's the Avengers,Avengers,5/4/12,Joss Whedon,143,8,69,220000000,623357910,1518812988,207438708,1,0,1
Iron Man 3,Iron Man,5/3/13,Shane Black,130,7.1,62,200000000,408992272,1214811252,174144585,1,0,2
Thor: The dark world,Thor,11/8/13,Alan Taylor,112,6.8,54,170000000,206362140,644783140,85737841,0,0,2
Captain America: The Winter Soldier,Captain America,4/4/14,Anthony and Joe Russo,136,7.7,70,170000000,259746958,714421503,95023721,1,0,2
Guardians Of the Galaxy,Guardians of the Galaxy,8/1/14,James Gunn,121,8,76,170000000,333714112,772776600,94320883,2,0,2
Avengers: Age of Ultron,Avengers,5/1/15,Joss Whedon,141,7.3,66,250000000,459005868,1402805868,191271109,0,0,2
Ant-Man,Ant-Man,7/17/15,Peyton Reed,117,7.3,64,130000000,180202163,519311965,57225526,0,0,2
Captain America: Civil War,Captain America,5/6/16,Anthony and Joe Russo,147,7.8,75,250000000,408084349,1153296293,179139142,0,0,3
Doctor Strange,Doctor Strange,11/4/16,Scott Derrickson,115,7.5,72,165000000,232641920,677718395,85058311,1,0,3
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,5/5/17,James Gunn,136,7.6,67,200000000,389813101,863756051,146510104,1,0,3
Spider-Man: Homecoming,Spiderman,7/7/17,Jon Watts,133,7.4,73,175000000,334201140,880166924,117027503,0,0,3
Thor: Ragnarok,Thor,11/3/17,Taika Waititi,130,7.9,74,180000000,,853977126,122744989,0,0,3
Black Panther,Black Panther,2/16/18,Ryan Coogler,134,7.3,88,200000000,,1346913161,202003951,7,3,3
Avengers: Infinity War,Avengers,4/27/18,Anthony and Joe Russo,149,8.4,68,300000000,678815482,2048359754,257698183,1,0,3
Ant-Man and the Wasp,Ant-Man,7/6/18,Peyton Reed,118,7,70,130000000,216648740,622674139,75812205,0,0,3
Captain Marvel,Captain Marvel,3/8/19,Anna Boden and Ryan Fleck,123,6.8,64,160000000,426829839,1128274794,153433423,0,0,3
Avengers: Endgame,Avengers,4/26/19,Anthony and Joe Russo,181,8.4,78,356000000,858373000,2797501328,357115007,1,0,3
Spider-Man: Far From Home,Spiderman,7/2/19,Jon Watts,129,7.5,69,160000000,390532085,1131927996,92579212,0,0,3
