Alt,Bar,Fri,Hun,Pat,Price,Rain,Res,Type,Est,Label
Yes,No,No,Yes,Some,High,No,Yes,French,0 to 10,Yes
Yes,No,No,Yes,Full,Low,No,No,Thai,30 to 60,No
No,Yes,No,No,Some,Low,No,No,Burger,0 to 10,Yes
Yes,No,Yes,Yes,Full,Low,Yes,No,Thai,10 to 30,Yes
Yes,No,Yes,No,Full,High,No,Yes,French,1hr,No
No,Yes,No,Yes,Some,Med,Yes,Yes,Italian,0 to 10,Yes
No,Yes,No,No,None,Low,Yes,No,Burger,0 to 10,No
No,No,No,Yes,Some,Med,Yes,Yes,Thai,0 to 10,Yes
No,Yes,Yes,No,Full,Low,Yes,No,Burger,1hr,No
Yes,Yes,Yes,Yes,Full,High,No,Yes,Italian,10 to 30,No
No,No,No,No,None,Low,No,No,Thai,0 to 10,No
Yes,Yes,Yes,Yes,Full,Low,No,No,Burger,30 to 60,Yes
No,Yes,No,Yes,Some,Low,Yes,Yes,Italian,0 to 10,
Yes,No,Yes,No,Full,Low,Yes,No,Thai,30 to 60,
