,month,day,hour,Station,Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel,Waterlevel_t-1,Waterlevel_t-2,Waterlevel_t-3,Waterlevel_t-4,Waterlevel_t-5,Waterlevel_t-6,Waterlevel_t-7,Waterlevel_t-8,Waterlevel_t-9,Waterlevel_t-10,Waterlevel_t-11,Waterlevel_t-12
0,1,1,0,Montalban,0,1,2,0,0,21.03,,,,,,,,,,,,
1,1,1,0,Sto_Nino,0,1,2,0,0,12.18,,,,,,,,,,,,
2,1,1,1,Montalban,0,1,1,1,0,21.03,21.03,,,,,,,,,,,
3,1,1,1,Sto_Nino,0,1,1,1,0,12.19,12.18,,,,,,,,,,,
4,1,1,2,Montalban,1,1,1,0,1,21.03,21.03,21.03,,,,,,,,,,
5,1,1,2,Sto_Nino,1,1,1,0,1,12.19,12.19,12.18,,,,,,,,,,
6,1,1,3,Montalban,0,0,0,1,0,21.03,21.03,21.03,21.03,,,,,,,,,
7,1,1,3,Sto_Nino,0,0,0,1,0,12.2,12.19,12.19,12.18,,,,,,,,,
8,1,1,4,Montalban,1,1,1,0,0,21.03,21.03,21.03,21.03,21.03,,,,,,,,
9,1,1,4,Sto_Nino,1,1,1,0,0,12.2,12.2,12.19,12.19,12.18,,,,,,,,
10,1,1,5,Montalban,0,0,1,0,0,21.03,21.03,21.03,21.03,21.03,21.03,,,,,,,
11,1,1,5,Sto_Nino,0,0,1,0,0,12.2,12.2,12.2,12.19,12.19,12.18,,,,,,,
12,1,1,6,Montalban,0,1,1,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,,,,,,
13,1,1,6,Sto_Nino,0,1,1,0,0,12.21,12.2,12.2,12.2,12.19,12.19,12.18,,,,,,
14,1,1,7,Montalban,0,0,0,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,,,,,
15,1,1,7,Sto_Nino,0,0,0,0,0,12.21,12.21,12.2,12.2,12.2,12.19,12.19,12.18,,,,,
16,1,1,8,Montalban,1,0,1,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,,,,
17,1,1,8,Sto_Nino,1,0,1,0,0,12.21,12.21,12.21,12.2,12.2,12.2,12.19,12.19,12.18,,,,
18,1,1,9,Montalban,0,0,0,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,,,
19,1,1,9,Sto_Nino,0,0,0,0,0,12.21,12.21,12.21,12.21,12.2,12.2,12.2,12.19,12.19,12.18,,,
20,1,1,10,Montalban,0,0,0,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,,
21,1,1,10,Sto_Nino,0,0,0,0,0,12.21,12.21,12.21,12.21,12.21,12.2,12.2,12.2,12.19,12.19,12.18,,
22,1,1,11,Montalban,1,2,4,0,0,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,
