,datetime,water_level,station,24hr
0,2022-01-01,11.64,Airport (PAGASA),0.0
1,2022-01-01,11.64,Antipolo,0.0
2,2022-01-01,11.64,Bagong Nayon,0.0
3,2022-01-01,11.64,Boso Boso,0.0
4,2022-01-01,11.64,Calawis,0.0
5,2022-01-01,11.64,Guadanoville,0.0
6,2022-01-01,11.64,Ko-Phil IT Center,0.0
7,2022-01-01,11.64,La Mesa Dam,0.0
8,2022-01-01,11.64,Macabud,0.0
9,2022-01-01,11.64,Mandaluyong,0.0
10,2022-01-01,11.64,Marikina (Youth Camp),0.0
11,2022-01-01,11.64,Mt. Aries,0.0
12,2022-01-01,11.64,Mt. Campana,0.0
13,2022-01-01,11.64,Mt. Oro,0.0
14,2022-01-01,11.64,Nangka,0.0
15,2022-01-01,11.64,Napindan,0.0
16,2022-01-01,11.64,Pacweld,0.0
17,2022-01-01,11.64,Pasig City Hall,0.0
18,2022-01-01,11.64,Pintong Bukawe,0.0
19,2022-01-01,11.64,Port Area Synop,0.0
20,2022-01-01,11.64,San Mateo-2,0.0
21,2022-01-01,11.64,San Pedro 9 Chapel,0.0
22,2022-01-01,11.64,Science Garden,0.0
23,2022-01-01,11.64,Sitio Wawa,0.0
24,2022-01-01,11.64,Taytay,0.0
25,2022-01-01,11.64,Valenzuela NHS,0.0
624,2022-01-02,11.64,Airport (PAGASA),0.0
625,2022-01-02,11.64,Antipolo,0.0
626,2022-01-02,11.64,Bagong Nayon,0.0
627,2022-01-02,11.64,Boso Boso,0.0
628,2022-01-02,11.64,Calawis,0.0
629,2022-01-02,11.64,Guadanoville,0.0
630,2022-01-02,11.64,Ko-Phil IT Center,0.0
631,2022-01-02,11.64,La Mesa Dam,0.0
632,2022-01-02,11.64,Macabud,0.0
633,2022-01-02,11.64,Mandaluyong,0.0
634,2022-01-02,11.64,Marikina (Youth Camp),0.0
635,2022-01-02,11.64,Mt. Aries,0.0
636,2022-01-02,11.64,Mt. Campana,0.0
637,2022-01-02,11.64,Mt. Oro,0.0
638,2022-01-02,11.64,Nangka,0.0
639,2022-01-02,11.64,Napindan,0.0
640,2022-01-02,11.64,Pacweld,0.0
