datetime,Sto Nino,San Jose
01/01/2015 0:00,0,6840
02/01/2015 0:00,0,6650
03/01/2015 0:00,0,5890
04/01/2015 0:00,0,5890
05/01/2015 0:00,0,4940
06/01/2015 0:00,0,4790
07/01/2015 0:00,0,4340
08/01/2015 0:00,0,4040
09/01/2015 0:00,0,3890
10/01/2015 0:00,0,3740
11/01/2015 0:00,0,3440
12/01/2015 0:00,0,3440
13/01/2015 0:00,0,3320
14/01/2015 0:00,0,3440
15/01/2015 0:00,0,3320
16/01/2015 0:00,0,3320
17/01/2015 0:00,0,3320
18/01/2015 0:00,0,4790
19/01/2015 0:00,0,4490
20/01/2015 0:00,0,3740
21/01/2015 0:00,0,3440
22/01/2015 0:00,0,3320
23/01/2015 0:00,0,3080
24/01/2015 0:00,0,2480
25/01/2015 0:00,0,2240
26/01/2015 0:00,0,2150
27/01/2015 0:00,0,2060
28/01/2015 0:00,0,2060
29/01/2015 0:00,0,2060
30/01/2015 0:00,0,2060
31/01/2015 0:00,0,2060
01/02/2015 0:00,0,2060
02/02/2015 0:00,0,2060
03/02/2015 0:00,0,1970
04/02/2015 0:00,0,1970
05/02/2015 0:00,0,1970
06/02/2015 0:00,0,1880
07/02/2015 0:00,0,1880
08/02/2015 0:00,0,1880
09/02/2015 0:00,0,1880
10/02/2015 0:00,0,1880
11/02/2015 0:00,0,1880
12/02/2015 0:00,0,1880
13/02/2015 0:00,0,1880
14/02/2015 0:00,0,1880
15/02/2015 0:00,0,1790
16/02/2015 0:00,0,1790
17/02/2015 0:00,0,1790
18/02/2015 0:00,0,1790
19/02/2015 0:00,0,1790
20/02/2015 0:00,0,1790
21/02/2015 0:00,0,1790
22/02/2015 0:00,0,1790
23/02/2015 0:00,0,1790
24/02/2015 0:00,0,1790
25/02/2015 0:00,0,1790
26/02/2015 0:00,0,1880
27/02/2015 0:00,0,1970
28/02/2015 0:00,0,1970
01/03/2015 0:00,0,2060
02/03/2015 0:00,0,2150
03/03/2015 0:00,0,2150
04/03/2015 0:00,0,2240
05/03/2015 0:00,0,2360
06/03/2015 0:00,0,2360
07/03/2015 0:00,0,2360
08/03/2015 0:00,0,2360
09/03/2015 0:00,0,2480
10/03/2015 0:00,0,2600
11/03/2015 0:00,0,2480
12/03/2015 0:00,0,2480
13/03/2015 0:00,0,2600
14/03/2015 0:00,0,2600
15/03/2015 0:00,0,2600
16/03/2015 0:00,0,2720
17/03/2015 0:00,0,2720
18/03/2015 0:00,0,2720
19/03/2015 0:00,0,2720
20/03/2015 0:00,0,2840
21/03/2015 0:00,0,2840
22/03/2015 0:00,0,2960
23/03/2015 0:00,0,3080
24/03/2015 0:00,0,2960
