id,y,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12
1,25.3209,1.61,1.15,0.53,0.89,1.93,2.66,56,47,53,3.51,10.49,4.94
2,11.1852,1.61,0.76,0.53,0.89,0.98,2.2,56,3,76,3.51,0.535,22.59
3,16.2945,1.61,1.02,0.53,0.89,0.93,2.66,56,11,53,3.51,0.968,4.94
4,14.8078,1.61,1.02,0.53,0.89,0.93,2.2,56,11,76,3.51,0.968,22.59
5,9.0212,1.34,0.76,0.53,1,0.98,2.2,20,3,76,1.55,0.535,22.59
6,9.0514,1.34,0.76,0.53,1,0.98,1.9,20,3,75,1.55,0.535,21.02
7,9.2891,1.44,0.76,0.53,0.95,0.98,1.9,38,3,75,2.63,0.535,21.02
8,11.7087,1.44,1.02,0.53,0.95,0.93,2.2,38,11,76,2.63,0.968,22.59
9,32.4948,1.61,1.03,0.64,0.89,1.9,1.5,56,83,73,3.51,9.78,16.65
10,45.3982,1.61,1.01,0.78,0.89,1.12,1.5,56,58,91,3.51,6.689,15.37
11,23.6934,1.61,0.91,0.64,0.89,1.22,1.6,56,66,41,3.51,8.551,8.57
12,41.0378,1.61,0.91,0.78,0.89,1.22,1.5,56,66,91,3.51,8.551,15.37
13,22.2316,1.61,0.89,0.64,0.89,1.24,1.6,56,68,41,3.51,9.066,8.57
14,38.6801,1.61,0.89,0.78,0.89,1.24,1.5,56,68,91,3.51,9.066,15.37
15,15.7121,1.61,0.89,0.57,0.89,1.24,2.2,56,68,44,3.51,9.066,12.37
16,21.8867,1.61,0.89,0.64,0.89,1.24,1.5,56,68,73,3.51,9.066,16.65
17,27.1412,1.61,0.95,0.64,0.89,1.12,1.6,56,63,41,3.51,5.244,8.57
18,43.5963,1.61,0.95,0.78,0.89,1.12,1.5,56,63,91,3.51,5.244,15.37
19,10.3569,1.61,0.65,0.61,0.89,1.83,2.16,56,26,42,3.51,7.874,10.28
20,10.0140,1.61,0.65,0.58,0.89,1.83,1.9,56,26,75,3.51,7.874,21.02
21,42.7278,1.61,0.94,0.78,0.89,1.2,1.5,56,64,91,3.51,7.901,15.37
22,22.5850,1.61,0.94,0.58,0.89,1.2,1.9,56,64,75,3.51,7.901,21.02
23,23.3137,1.61,0.9,0.64,0.89,1.23,1.6,56,67,41,3.51,8.795,8.57
24,40.2304,1.61,0.9,0.78,0.89,1.23,1.5,56,67,91,3.51,8.795,15.37
25,14.3286,1.61,0.8,0.64,0.89,1.78,1.6,56,49,41,3.51,7.31,8.57
26,13.5628,1.61,0.8,0.58,0.89,1.78,2.2,56,49,76,3.51,7.31,22.59
27,14.0126,1.61,0.8,0.58,0.89,1.78,1.9,56,49,75,3.51,7.31,21.02
28,14.1693,1.61,0.8,0.6,0.89,1.78,2.05,56,49,51,3.51,7.31,6.697
29,29.1140,1.61,0.8,0.76,0.89,1.78,1.7,56,49,92,3.51,7.31,19.05
30,48.3337,1.61,1.03,0.78,0.89,1.1,1.5,56,57,91,3.51,6.146,15.37
31,17.6175,1.61,0.86,0.64,0.89,1,1.6,56,71,41,3.51,9.841,8.57
32,34.4563,1.61,0.86,0.78,0.89,1,1.5,56,71,91,3.51,9.841,15.37
33,12.6617,1.61,0.65,0.58,0.89,1.55,1.9,56,25,75,3.51,7.47,21.02
34,30.1899,1.61,0.98,0.64,0.89,1.14,1.6,56,60,41,3.51,7.01,8.57
35,27.6160,1.61,0.98,0.58,0.89,1.14,1.9,56,60,75,3.51,7.01,21.02
36,31.8921,1.61,0.98,0.64,0.89,1.14,1.5,56,60,73,3.51,7.01,16.65
37,12.5410,1.61,0.75,0.64,0.89,2.28,1.6,56,45,41,3.51,12.45,8.57
