Date, Open, High, Low, Close, Volume
05/11/23, 27.20, 27.55, 26.90, 27.00, 17738000
05/10/23, 26.90, 27.40, 26.85, 26.95, 8282900
05/09/23, 27.05, 27.30, 26.65, 26.80, 8970500
05/08/23, 28.40, 28.55, 26.90, 26.90, 12166200
05/05/23, 28.50, 28.65, 28.15, 28.25, 4341900
05/04/23, 27.40, 28.65, 27.40, 28.65, 15576400
05/03/23, 27.60, 27.90, 27.40, 27.40, 9135600
05/02/23, 26.85, 27.60, 26.80, 27.50, 8163200
04/28/23, 26.10, 26.80, 26.10, 26.65, 14133400
04/27/23, 26.35, 26.35, 25.95, 25.95, 6234400
04/26/23, 26.35, 26.40, 26.05, 26.40, 8743700
04/25/23, 26.70, 26.70, 26.25, 26.35, 9791400
04/24/23, 26.25, 26.65, 26.20, 26.65, 8491800
04/20/23, 26.15, 26.35, 26.00, 26.20, 5878300
04/19/23, 26.15, 26.40, 25.90, 26.15, 12416400
04/18/23, 26.50, 26.65, 26.15, 26.40, 8319200
04/17/23, 26.50, 26.70, 26.00, 26.70, 9126200
04/14/23, 26.40, 26.65, 25.95, 26.50, 13258900
04/13/23, 26.50, 26.60, 25.40, 26.45, 38820199
04/12/23, 27.40, 27.40, 26.70, 27.05, 9418500
04/11/23, 28.00, 28.35, 27.25, 27.30, 7580700
04/05/23, 27.45, 28.40, 27.45, 27.70, 9373300
04/04/23, 27.40, 27.45, 27.00, 27.35, 7176700
04/03/23, 27.00, 27.45, 26.85, 27.40, 8097400
03/31/23, 28.10, 28.40, 26.50, 26.50, 18741500
03/30/23, 28.90, 29.00, 28.25, 28.50, 7024200
03/29/23, 28.55, 28.90, 28.40, 28.90, 7453500
03/28/23, 28.60, 28.80, 28.40, 28.45, 5209900
03/27/23, 28.45, 28.60, 28.10, 28.50, 2864100
03/24/23, 28.35, 28.50, 28.00, 28.50, 9862300
03/23/23, 27.60, 28.35, 27.60, 28.35, 4672800
03/22/23, 28.15, 28.55, 28.05, 28.20, 8852200
03/21/23, 27.10, 28.00, 27.10, 28.00, 6625400
03/20/23, 26.10, 27.05, 25.95, 27.00, 4707500
03/17/23, 26.40, 26.55, 26.10, 26.20, 18391301
03/16/23, 26.30, 26.50, 25.85, 26.30, 13352500
03/15/23, 26.75, 26.75, 26.40, 26.50, 18942100
03/14/23, 26.75, 26.85, 26.25, 26.30, 28265600
03/13/23, 26.20, 27.00, 26.00, 26.35, 14561500
03/10/23, 26.95, 26.95, 26.20, 26.45, 14414500
03/09/23, 28.10, 28.35, 27.00, 27.00, 13607800
03/08/23, 28.30, 28.45, 28.05, 28.15, 8988700
03/07/23, 29.00, 29.45, 28.30, 28.30, 9641800
03/06/23, 28.50, 29.05, 28.40, 28.65, 7445300
03/03/23, 28.70, 28.85, 28.30, 28.35, 5267800
03/02/23, 28.85, 29.50, 28.45, 28.85, 14284000
03/01/23, 28.55, 28.85, 28.35, 28.85, 4937000
02/28/23, 28.45, 28.70, 28.10, 28.50, 21897400
02/27/23, 28.10, 28.50, 27.85, 28.50, 9666300
02/23/23, 28.20, 28.40, 27.90, 28.05, 11448300
02/22/23, 28.50, 28.50, 28.10, 28.20, 9899500
02/21/23, 29.10, 29.25, 28.75, 28.95, 9549300
02/20/23, 29.50, 29.65, 29.10, 29.10, 6286400
02/17/23, 29.55, 29.60, 29.20, 29.35, 5416300
02/16/23, 29.15, 29.90, 28.95, 29.60, 6485700
02/15/23, 28.70, 29.15, 28.40, 29.05, 7639700
02/14/23, 28.80, 28.90, 28.40, 28.70, 4957300
02/13/23, 29.35, 29.45, 28.60, 28.60, 5129100
02/10/23, 29.20, 29.45, 28.95, 29.25, 4663500
02/09/23, 29.25, 29.40, 28.90, 29.10, 10301700
02/08/23, 29.15, 29.75, 29.15, 29.20, 8450900
02/07/23, 29.30, 29.55, 29.05, 29.05, 10874100
02/06/23, 29.55, 29.85, 29.15, 29.30, 20701100
02/03/23, 30.00, 30.15, 29.10, 29.40, 55900898
02/02/23, 30.50, 30.60, 29.75, 29.75, 18456699
02/01/23, 29.95, 30.50, 29.60, 30.50, 26520100
01/31/23, 31.05, 31.15, 29.30, 29.30, 31660301
01/30/23, 32.65, 32.70, 31.00, 31.05, 16110800
01/27/23, 32.75, 33.05, 32.65, 32.90, 6436600
01/26/23, 32.80, 32.90, 32.35, 32.65, 4805100
01/25/23, 33.15, 33.25, 32.70, 32.80, 8870900
01/24/23, 32.80, 33.45, 32.50, 32.85, 11780000
01/23/23, 32.45, 32.80, 32.15, 32.80, 7089400
01/20/23, 31.95, 32.65, 31.50, 32.65, 5109700
01/19/23, 32.20, 32.40, 31.95, 32.00, 6268100
01/18/23, 31.95, 32.60, 31.50, 32.45, 13946300
01/17/23, 31.60, 32.35, 31.05, 31.95, 9779300
01/16/23, 31.05, 32.20, 31.05, 31.60, 12287600
01/13/23, 31.00, 31.15, 30.30, 31.00, 22706801
01/12/23, 30.00, 31.00, 30.00, 31.00, 4875900
01/11/23, 30.10, 30.35, 29.90, 30.00, 4951600
01/10/23, 30.45, 30.70, 30.00, 30.00, 4335000
01/09/23, 30.65, 31.00, 30.25, 30.70, 3846500
01/06/23, 31.00, 31.05, 29.80, 30.25, 6895400
01/05/23, 31.25, 31.30, 30.85, 31.25, 5185000
01/04/23, 30.50, 31.40, 30.50, 31.25, 15226400
01/03/23, 30.40, 30.70, 30.30, 30.40, 3853800
12/29/22, 30.10, 30.80, 29.95, 30.80, 10155300
12/28/22, 30.00, 30.05, 29.55, 30.05, 3224600
12/27/22, 29.25, 30.00, 28.95, 30.00, 4703700
12/23/22, 29.75, 29.85, 29.20, 29.20, 1686300
12/22/22, 29.90, 30.25, 29.50, 29.90, 5030600
12/21/22, 29.90, 29.95, 29.45, 29.90, 3306100
12/20/22, 29.40, 30.00, 29.00, 29.90, 7649800
12/19/22, 29.25, 29.40, 28.50, 29.40, 3312400
12/16/22, 28.90, 29.25, 28.70, 29.25, 33607602
12/15/22, 29.65, 29.70, 29.00, 29.00, 6476900
12/14/22, 29.50, 29.75, 29.10, 29.50, 11492800
12/13/22, 29.15, 29.45, 29.15, 29.35, 5232900
12/12/22, 29.50, 29.85, 29.10, 29.10, 6565100
12/09/22, 29.65, 29.65, 28.90, 29.20, 10260200
12/07/22, 29.70, 29.80, 29.00, 29.00, 9458700
12/06/22, 29.30, 29.90, 28.90, 29.90, 10944600
12/05/22, 29.05, 30.30, 29.05, 29.30, 7819300
12/02/22, 29.80, 29.85, 28.90, 29.00, 8367200
