Date, Open, High, Low, Close, Volume
5/11/2023,137.6,138.5,135.7,136,3090400
5/10/2023,138,139.2,135.3,135.5,2768160
5/9/2023,137,138.2,135.7,136.1,3706540
5/8/2023,138.2,140,137,137,3005850
5/5/2023,141,142.5,137,137,3700720
5/4/2023,138,141.9,138,141,2076890
5/3/2023,142.5,142.5,137.2,137.7,6577890
5/2/2023,142,145,141.1,142,4732970
04/28/23,144,144,140,144,8102990
04/27/23,137.5,144.9,136.5,144.6,2196930
04/26/23,139,139,137.2,138,10407020
04/25/23,139.7,140.9,138.7,139.7,4277160
04/24/23,135.1,142.5,135.1,139.5,4703310
04/20/23,133.9,135,132.1,135,910450
04/19/23,128.2,129.8,128.1,129.5,1772070
04/18/23,128.5,128.5,127.3,127.9,5060880
04/17/23,132,132,127.5,128.3,2853210
04/14/23,131,134.8,130.2,132,8212540
04/13/23,130.1,131,128,131,4137140
4/12/2023,129.4,131,128.6,130.2,4934380
4/11/2023,125.5,130,124.7,130,1660530
4/5/2023,125.2,126.3,123.7,124.2,1155630
4/4/2023,128.5,128.9,125,125,1720470
4/3/2023,128.5,128.7,127.6,128.2,2336930
03/31/23,129,129,126.8,128.5,2674340
03/30/23,128.9,128.9,127.5,128.5,1494640
03/29/23,127.4,128.5,126.1,128.5,1227500
03/28/23,126.7,128.6,125.5,125.5,2032960
03/27/23,126,126.5,125.5,126.5,2497390
03/24/23,124,127,123.3,127,1568910
03/23/23,123.3,124.8,121.2,124,1059920
03/22/23,124,126.7,123.2,126.2,2927800
03/21/23,122.5,124,122.5,124,3953080
03/20/23,125,125,121.3,121.5,5141270
03/17/23,124,127.6,122.1,127.6,4712460
03/16/23,122,123.4,120.5,121.5,4993150
03/15/23,122.9,124.9,122.1,124.3,4098010
03/14/23,118,119.8,117.2,119.4,2169180
03/13/23,122,123.3,121,122,4980990
3/10/2023,128.1,128.3,123.2,124.2,2812300
3/9/2023,128.9,129.6,127.8,128.3,3410550
3/8/2023,126.6,128,124.3,128,6159570
3/7/2023,127.3,128.2,127.1,127.5,4602080
3/6/2023,125.5,128.1,125,127,4357790
3/3/2023,127,128,125.2,125.8,2493220
3/2/2023,124.4,126.4,123.8,125,7550220
3/1/2023,123.6,125.4,123.6,124,6007830
02/28/23,124.5,126.3,123.4,123.4,1953090
02/27/23,125,125.1,122.6,124.1,1952930
02/23/23,124,124.4,123.1,124,999950
02/22/23,124.4,124.9,123.2,124,1673400
02/21/23,123.8,124.4,123.3,123.9,2492380
02/20/23,125,125.3,123.6,124.5,2451190
02/17/23,124,125,123,125,3586700
02/16/23,125.5,126.5,124.2,124.2,3885070
02/15/23,125,125.7,124.5,125.5,5237030
02/14/23,125.2,126,124.7,125.5,1046020
02/13/23,125.5,127.2,125,126.4,960390
2/10/2023,125,125.8,124.5,125.5,1234070
2/9/2023,125,125.6,124.6,125,1821400
2/8/2023,124.4,126,124,126,3461640
2/7/2023,124,125,123,124,8152110
2/6/2023,125,125.2,122.6,125,4016970
2/3/2023,126,127.4,125,126,7203530
2/2/2023,126,126.5,123.3,125.5,4492950
2/1/2023,124.5,125.3,123.5,125.2,4224450
01/31/23,124,124.7,121.3,122.8,3893140
01/30/23,122,123,121.7,123,3058820
01/27/23,122.1,123,121.7,122,1962570
01/26/23,122,123.5,121.8,122,1802160
01/25/23,122.8,122.8,121.7,122,2060230
01/24/23,122.5,124.8,122.1,122.4,1929990
01/23/23,123,124,121.5,122.5,5306920
01/20/23,123,124.9,122.7,123,5099850
01/19/23,124,126.7,122.4,122.7,5306460
01/18/23,124.2,124.6,123.4,123.6,8428510
01/17/23,125,125,122.6,124.5,5248510
01/16/23,120.8,125.5,120.7,125.5,5098900
01/13/23,114,119,113.7,119,3866680
1/12/2023,110.9,114,110.9,114,4136650
1/11/2023,111,112.3,109.9,109.9,2360360
1/10/2023,113,113.2,109.9,110.9,3324440
1/9/2023,112,113.6,111.6,112.4,5336950
1/6/2023,112.1,113.5,110.8,111,2920670
1/5/2023,112.6,114,112.5,114,2067160
1/4/2023,109,111.9,108.7,111.5,2536840
1/3/2023,105.8,108.6,105.5,107.9,2123090
12/29/22,105.9,106.3,105.5,105.7,1239460
12/28/22,108,108,105.7,105.9,1418240
12/27/22,108,108,105.6,105.9,2693050
12/23/22,108,109.5,106.6,106.8,1999050
12/22/22,110.8,111.6,108,108,1272690
12/21/22,108,110.8,107.6,109,2361710
12/20/22,109,109.8,107.2,107.4,7118740
12/19/22,106.9,109,106.8,107.8,4399110
12/16/22,110.5,112.1,107.2,107.2,5442430
12/15/22,113.8,114,110.1,110.5,3932560
12/14/22,114.3,114.8,112.6,113.6,5143660
12/13/22,112.5,114.4,110.7,112.5,5247480.128
12/12/2022,111.9,112.7,108.3,110.7,4229628.103
12/9/2022,106.833,109.083,104.833,107.5,3717624.091
12/7/2022,109.167,111.167,107.167,107.5,2413764.059
12/6/2022,107.917,109.667,106.667,109.667,2269464.055
12/5/2022,106,108.333,105,105.833,5340516.13
12/2/2022,109.667,110.167,106.833,106.833,7940868.194
12/1/2022,113.333,113.333,107.75,108.333,3302688.081
11/29/22,108.75,108.833,107.417,108.417,6160692.15
11/28/22,109.583,111,108.833,109.167,2702592.066
11/25/22,110.5,110.5,108.667,109.583,3945612.096
11/24/22,107.917,111.167,107.917,110.667,2682444.065
11/23/22,108.333,108.917,107.5,107.917,3117900.076
11/22/22,107.667,109.417,107.667,108.333,2880924.07
11/21/22,107.167,107.5,105.833,107.5,3824904.093
11/18/22,107.5,109.417,106.917,107.417,6184176.151
11/17/22,107.5,107.917,106.167,107.083,2313264.056
11/16/22,111.583,111.583,107.5,107.5,5328084.13
11/15/22,111.5,111.667,110,111.667,3313800.081
11/14/22,111.25,111.75,109.583,111.75,3261228.08
11/11/2022,112.417,112.417,109.667,111.167,6215448.152
11/10/2022,110,110.667,107.5,110.667,9207480.225
11/9/2022,110.833,111.917,110,110,4578852.112
11/8/2022,109.333,112,109.333,111.25,5307696.13
11/7/2022,105.833,108.333,105.667,108.333,4456860.109
11/4/2022,105,106.333,105,105.833,6405384.156
11/3/2022,105.833,107,105.417,105.667,4251804.104
11/2/2022,107.5,107.917,106.917,107.667,2792628.068
10/28/22,105.333,106.333,104.5,106.083,1317540.032
10/27/22,103.167,105.833,102.833,105.833,1457484.036
10/26/22,102.083,103.167,101.167,103.167,815532.0199
10/25/22,100.833,102.5,99.833,102.5,2462892.06
10/24/22,99.25,101,99.25,100.833,3810960.093
10/21/22,100.75,101.667,98.833,98.833,1944396.047
10/20/22,101.667,102.333,99.667,102.083,2413344.059
10/19/22,103.167,103.167,100.417,102.5,2226144.054
10/18/22,99.833,102.5,98.333,102.5,4313988.105
10/17/22,100.833,102.25,98.333,98.333,1941516.047
10/14/22,100,100.833,99.5,100,3014424.074
10/13/22,97.5,98.5,96.833,98.333,3602916.088
10/12/2022,96,97.75,95.833,96.667,1278492.031
10/11/2022,93.833,97.167,92.5,95.667,2729868.067
10/10/2022,93.333,93.917,91.667,92.583,1326528.032
10/7/2022,95.333,95.333,93.083,93.667,1770876.043
10/6/2022,96.333,96.583,95.25,95.333,3388320.083
10/5/2022,95.917,96.583,94.667,96.583,2041692.05
10/4/2022,94.167,94.75,92.917,94.167,3265596.08
10/3/2022,93.333,94.083,91.833,92.833,3933468.096
09/30/22,94,94.167,92.583,92.917,4105500.1
09/29/22,94.167,95.667,93.667,95.083,4914756.12
09/28/22,96.667,96.667,92.667,92.667,1139940.028
09/27/22,99.167,99.583,95.167,95.833,1211124.03
09/23/22,101.667,101.667,99.833,99.833,1658592.04
09/22/22,100.417,102.333,99.167,102.333,2748024.067
09/21/22,102.583,103,100.417,100.417,2461632.06
09/20/22,100.833,103.5,100.833,102.583,6955980.17
09/19/22,100.417,101,99.083,100.417,3395436.083
09/16/22,102.75,103.333,100.333,100.333,2521464.062
09/15/22,104.167,105.667,102.083,102.083,2758260.067
09/14/22,107.083,107.083,104.25,104.25,1241784.03
09/13/22,106.167,108.25,106.167,108.25,742488.0181
9/12/2022,105.167,106.917,104.583,106.667,1971132.048
9/9/2022,103.75,105.25,103.75,105,2064300.05
9/8/2022,104.25,105,103.417,104.167,1384692.034
9/7/2022,106.25,106.667,103.417,103.5,1274448.031
9/6/2022,108.083,108.083,106.333,106.667,3558240.087
9/5/2022,105.833,108.333,105.667,108.333,2079720.051
9/2/2022,107.5,108.333,106.083,106.5,3888852.095
9/1/2022,107.333,108.75,105.833,108.75,4761060.116
08/31/22,108,108.833,107,107.333,3153372.077
08/30/22,107.5,109.5,106.833,109.5,1508928.037
08/26/22,107.167,109.583,106.75,109.583,2212284.054
08/25/22,105.833,107.583,105.5,107.333,1576980.038
08/24/22,103.75,106.667,103.75,105.833,1650192.04
08/23/22,104.667,104.833,103.75,104.167,1101732.027
08/22/22,107.333,107.333,105,105.417,2437776.059
08/19/22,106.25,107.75,105.833,107.75,8335572.203
08/18/22,104.5,106.417,103.75,106.333,4791780.117
08/17/22,104.25,107.083,103.917,106.833,2211336.054
08/16/22,100,104.5,99.25,104.5,3090900.075
08/15/22,99.167,100.25,98.667,100,3917928.096
